ID,Start time,Completion time,Email,Name,Last modified time,Provided ID,Occupation,Educational Background,Which one did you test ?,1. The links and buttons at the top of the page in the navigation menu are clear and readable.,2. It is easy to navigate the site using only a keyboard (without a mouse).,3. The text and buttons on the product cards are easy to read.,"4. I receive a small, modern notification when adding or removing an item from the cart.",5. I notice the product is duplicated in the cart after adding it twice.,"6. When I fill out a form incorrectly, I receive meaningful error messages.",7. I experienced smooth and fluid scrolling while browsing the product list on the Home and Sales pages.  ,"8. The mouse cursor changes to a hand icon when hovering over links and buttons, making it clear they are clickable.",9. The checkboxes were appropriately sized and easy to click.,10.  The search results update instantly as I type.,11. The website's background makes it easy to maintain visual focus on the products.,12. Product images fit their frames proportionally without unnecessary white space.,13. The system responds immediately when applying filters on products.,14. The system responds immediately when sorting products by category.,"15. Overall, the application feels modern and responsive."
22,04/06/2026 11:55:31,04/06/2026 12:01:52,anonymous,,,Std06,Student,University,Shop,2. Disagree ,3. Neutral,3. Neutral,3. Neutral,5. Strongly Agree,1. Strongly Disagree ,5. Strongly Agree,1. Strongly Disagree ,2. Disagree ,3. Neutral,4. Agree,2. Disagree ,2. Disagree ,2. Disagree ,3. Neutral
23,04/06/2026 12:02:21,04/06/2026 12:06:28,anonymous,,,Std06,Student,University ,Ecommerce,5. Strongly Agree,4. Agree,5. Strongly Agree,3. Neutral,5. Strongly Agree,2. Disagree ,5. Strongly Agree,5. Strongly Agree,4. Agree,3. Neutral,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree
24,04/06/2026 12:22:50,04/06/2026 12:32:09,anonymous,,,Std 07,Unemployed,Software Engineering,Shop,1. Strongly Disagree ,1. Strongly Disagree ,2. Disagree ,1. Strongly Disagree ,5. Strongly Agree,1. Strongly Disagree ,4. Agree,1. Strongly Disagree ,1. Strongly Disagree ,3. Neutral,5. Strongly Agree,2. Disagree ,4. Agree,3. Neutral,1. Strongly Disagree 
25,04/06/2026 12:32:13,04/06/2026 12:37:59,anonymous,,,Std 07,Unemployed ,Software Engineering ,Ecommerce,3. Neutral,5. Strongly Agree,5. Strongly Agree,2. Disagree ,4. Agree,1. Strongly Disagree ,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,5. Strongly Agree,2. Disagree ,5. Strongly Agree,4. Agree,4. Agree
26,04/06/2026 12:40:17,04/06/2026 12:46:05,anonymous,,,Std08,Software student ,Software engineering ,Shop,2. Disagree ,4. Agree,4. Agree,4. Agree,3. Neutral,3. Neutral,4. Agree,1. Strongly Disagree ,2. Disagree ,5. Strongly Agree,4. Agree,3. Neutral,4. Agree,5. Strongly Agree,3. Neutral
27,04/06/2026 12:46:36,04/06/2026 12:50:23,anonymous,,,Std08,Software student ,Software engineering ,Ecommerce,4. Agree,4. Agree,4. Agree,5. Strongly Agree,4. Agree,3. Neutral,4. Agree,4. Agree,3. Neutral,4. Agree,4. Agree,5. Strongly Agree,4. Agree,4. Agree,3. Neutral
28,04/06/2026 12:52:06,04/06/2026 12:56:19,anonymous,,,Std09,Student,Software engineer ,Shop,2. Disagree ,4. Agree,4. Agree,4. Agree,4. Agree,3. Neutral,4. Agree,2. Disagree ,2. Disagree ,2. Disagree ,4. Agree,2. Disagree ,3. Neutral,4. Agree,4. Agree
29,04/06/2026 12:56:31,04/06/2026 12:58:59,anonymous,,,Std09,Student ,Software engineer ,Ecommerce,5. Strongly Agree,4. Agree,4. Agree,4. Agree,4. Agree,3. Neutral,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree
30,04/06/2026 13:00:24,04/06/2026 13:06:28,anonymous,,,Std10,Student,Software engineer 2nd year,Shop,2. Disagree ,1. Strongly Disagree ,2. Disagree ,3. Neutral,2. Disagree ,2. Disagree ,4. Agree,1. Strongly Disagree ,2. Disagree ,5. Strongly Agree,2. Disagree ,1. Strongly Disagree ,4. Agree,2. Disagree ,2. Disagree 
31,04/06/2026 13:06:33,04/06/2026 13:10:50,anonymous,,,Std10,Student ,Software engineer 2nd year,Ecommerce,5. Strongly Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree
32,04/06/2026 13:42:57,04/06/2026 13:48:50,anonymous,,,Std11,Student,Maskinteknik ,Shop,2. Disagree ,2. Disagree ,2. Disagree ,1. Strongly Disagree ,5. Strongly Agree,1. Strongly Disagree ,2. Disagree ,3. Neutral,2. Disagree ,2. Disagree ,3. Neutral,3. Neutral,1. Strongly Disagree ,1. Strongly Disagree ,1. Strongly Disagree 
33,04/06/2026 13:49:22,04/06/2026 13:53:13,anonymous,,,Std11,Student ,Maskinteknik ,Ecommerce,2. Disagree ,3. Neutral,4. Agree,2. Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,3. Neutral,4. Agree,4. Agree,3. Neutral,4. Agree,3. Neutral,2. Disagree ,3. Neutral,3. Neutral
34,04/06/2026 13:50:41,04/06/2026 14:02:13,anonymous,,,Std13,Student,Spatial planning ,Shop,3. Neutral,5. Strongly Agree,4. Agree,4. Agree,5. Strongly Agree,2. Disagree ,3. Neutral,1. Strongly Disagree ,3. Neutral,5. Strongly Agree,5. Strongly Agree,2. Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,4. Agree
35,04/06/2026 13:50:45,04/06/2026 14:02:14,anonymous,,,Std 12,Student,Architecture,Shop,3. Neutral,5. Strongly Agree,4. Agree,2. Disagree ,4. Agree,2. Disagree ,5. Strongly Agree,1. Strongly Disagree ,2. Disagree ,5. Strongly Agree,5. Strongly Agree,2. Disagree ,5. Strongly Agree,1. Strongly Disagree ,4. Agree
36,04/06/2026 13:50:53,04/06/2026 14:02:28,anonymous,,,std 14,Student,Urban planning ,Shop,3. Neutral,5. Strongly Agree,4. Agree,4. Agree,4. Agree,4. Agree,3. Neutral,1. Strongly Disagree ,4. Agree,5. Strongly Agree,4. Agree,2. Disagree ,4. Agree,1. Strongly Disagree ,3. Neutral
37,04/06/2026 14:02:45,04/06/2026 14:06:35,anonymous,,,std 14,Student ,Urban planning ,Ecommerce,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree
38,04/06/2026 14:03:11,04/06/2026 14:06:35,anonymous,,,std 13,Student ,Spatial planning ,Ecommerce,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree
39,04/06/2026 14:02:26,04/06/2026 14:06:37,anonymous,,,std 12,Student,Architecture,Ecommerce,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree
41,04/06/2026 14:07:21,04/06/2026 14:18:07,anonymous,,,STD15,Sweden,Sjuksköterska,Shop,3. Neutral,4. Agree,4. Agree,4. Agree,4. Agree,3. Neutral,3. Neutral,3. Neutral,3. Neutral,3. Neutral,3. Neutral,3. Neutral,3. Neutral,3. Neutral,3. Neutral
43,04/06/2026 14:18:29,04/06/2026 14:20:02,anonymous,,,STD15,Sweden,Sjuksköterskestudent,Ecommerce,4. Agree,4. Agree,4. Agree,3. Neutral,3. Neutral,3. Neutral,3. Neutral,3. Neutral,3. Neutral,3. Neutral,3. Neutral,3. Neutral,3. Neutral,3. Neutral,3. Neutral
44,04/06/2026 14:21:32,04/06/2026 14:30:27,anonymous,,,STD17,Student,Masters in computer science,Shop,2. Disagree ,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,1. Strongly Disagree ,2. Disagree ,1. Strongly Disagree ,4. Agree,5. Strongly Agree,2. Disagree ,2. Disagree ,1. Strongly Disagree ,5. Strongly Agree,2. Disagree 
45,04/06/2026 14:21:37,04/06/2026 14:30:28,anonymous,,,Std18,Student,Software engineering,Shop,3. Neutral,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,1. Strongly Disagree ,2. Disagree ,1. Strongly Disagree ,3. Neutral,4. Agree,2. Disagree ,3. Neutral,5. Strongly Agree,2. Disagree ,4. Agree
46,04/06/2026 14:30:36,04/06/2026 14:34:36,anonymous,,,Std18,Student,Software engineering,Ecommerce,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,2. Disagree ,5. Strongly Agree,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree
47,04/06/2026 14:30:33,04/06/2026 14:34:41,anonymous,,,STD17,Student,Masters in computer science,Ecommerce,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,1. Strongly Disagree ,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neutral,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree
48,04/06/2026 15:20:24,04/06/2026 15:26:05,anonymous,,,std20,Student ,software engineer ,Shop,3. Neutral,1. Strongly Disagree ,2. Disagree ,2. Disagree ,3. Neutral,1. Strongly Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,3. Neutral,3. Neutral,2. Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,2. Disagree ,2. Disagree 
49,04/06/2026 15:20:27,04/06/2026 15:27:07,anonymous,,,Std19,Student,Master of science in cyber security ,Shop,4. Agree,3. Neutral,2. Disagree ,3. Neutral,4. Agree,2. Disagree ,2. Disagree ,1. Strongly Disagree ,2. Disagree ,2. Disagree ,3. Neutral,4. Agree,2. Disagree ,2. Disagree ,2. Disagree 
50,04/06/2026 15:26:10,04/06/2026 15:30:35,anonymous,,,std20 ,student ,software engineer ,Ecommerce,4. Agree,3. Neutral,4. Agree,4. Agree,3. Neutral,4. Agree,4. Agree,5. Strongly Agree,4. Agree,3. Neutral,5. Strongly Agree,4. Agree,4. Agree,3. Neutral,4. Agree
51,04/06/2026 15:27:09,04/06/2026 15:30:38,anonymous,,,Std19,Student,Master of science in cyber security ,Ecommerce,4. Agree,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree
52,04/06/2026 15:38:31,04/06/2026 15:45:04,anonymous,,,Std21,Student ,AI,Shop,1. Strongly Disagree ,3. Neutral,1. Strongly Disagree ,2. Disagree ,2. Disagree ,3. Neutral,2. Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,4. Agree,2. Disagree ,2. Disagree ,3. Neutral,5. Strongly Agree,2. Disagree 
53,04/06/2026 15:38:15,04/06/2026 15:45:24,anonymous,,,Std22,Student,Software engineering ,Shop,1. Strongly Disagree ,2. Disagree ,2. Disagree ,1. Strongly Disagree ,4. Agree,3. Neutral,4. Agree,1. Strongly Disagree ,1. Strongly Disagree ,4. Agree,4. Agree,3. Neutral,3. Neutral,2. Disagree ,2. Disagree 
54,04/06/2026 15:45:31,04/06/2026 15:47:50,anonymous,,,Std22,Student,Software engineering,Ecommerce,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,1. Strongly Disagree ,3. Neutral,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,4. Agree
55,04/06/2026 15:45:22,04/06/2026 15:47:52,anonymous,,,Std21,Student,AI,Ecommerce,5. Strongly Agree,2. Disagree ,3. Neutral,3. Neutral,1. Strongly Disagree ,4. Agree,3. Neutral,4. Agree,3. Neutral,4. Agree,4. Agree,5. Strongly Agree,4. Agree,4. Agree,3. Neutral
56,04/06/2026 15:48:38,04/06/2026 15:54:43,anonymous,,,STD23,Student,Sjuksköterskeprogrammet ,Shop,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,1. Strongly Disagree ,3. Neutral,5. Strongly Agree,1. Strongly Disagree ,3. Neutral,3. Neutral,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree
57,04/06/2026 15:54:47,04/06/2026 15:57:03,anonymous,,,STD23,Student ,Sjuksköterskeprogrammet,Ecommerce,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,1. Strongly Disagree ,3. Neutral,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree
58,04/06/2026 16:32:56,04/06/2026 16:40:59,anonymous,,,Std24,Student,Software engineering,Shop,4. Agree,5. Strongly Agree,2. Disagree ,4. Agree,4. Agree,3. Neutral,5. Strongly Agree,1. Strongly Disagree ,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree
59,04/06/2026 16:35:27,04/06/2026 16:42:01,anonymous,,,STD25,Student,Civ Ai ,Shop,4. Agree,3. Neutral,3. Neutral,2. Disagree ,5. Strongly Agree,4. Agree,4. Agree,1. Strongly Disagree ,2. Disagree ,5. Strongly Agree,3. Neutral,2. Disagree ,3. Neutral,3. Neutral,3. Neutral
61,04/06/2026 16:42:19,04/06/2026 16:44:23,anonymous,,,Std25,Student,Civ Ai ,Ecommerce,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,1. Strongly Disagree ,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,1. Strongly Disagree ,4. Agree,5. Strongly Agree,5. Strongly Agree
62,04/06/2026 16:45:22,04/06/2026 16:47:51,anonymous,,,Std24,Student,Software engineering,Ecommerce,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neutral,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,2. Disagree ,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree
63,04/06/2026 17:11:10,04/06/2026 17:19:31,anonymous,,,STD26,Student,Software Engineering ,Shop,5. Strongly Agree,4. Agree,3. Neutral,3. Neutral,3. Neutral,1. Strongly Disagree ,4. Agree,1. Strongly Disagree ,3. Neutral,5. Strongly Agree,3. Neutral,2. Disagree ,2. Disagree ,2. Disagree ,2. Disagree 
64,04/06/2026 17:19:42,04/06/2026 17:23:40,anonymous,,,STD26,Student,Software Engineering,Ecommerce,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,3. Neutral,3. Neutral,5. Strongly Agree,5. Strongly Agree,4. Agree
65,04/06/2026 17:30:40,04/06/2026 17:34:03,anonymous,,,Std 27,Student,Teknisk basår,Shop,1. Strongly Disagree ,3. Neutral,3. Neutral,3. Neutral,4. Agree,3. Neutral,1. Strongly Disagree ,3. Neutral,1. Strongly Disagree ,3. Neutral,3. Neutral,1. Strongly Disagree ,4. Agree,4. Agree,3. Neutral
66,04/06/2026 17:31:01,04/06/2026 17:34:17,anonymous,,,STD28,Bleking teknsika högksola,Gymnaiet,Shop,4. Agree,3. Neutral,4. Agree,4. Agree,4. Agree,3. Neutral,3. Neutral,4. Agree,3. Neutral,4. Agree,3. Neutral,3. Neutral,4. Agree,3. Neutral,4. Agree
67,04/06/2026 17:39:43,04/06/2026 17:40:44,anonymous,,,STD28,Blekinge tekniska högskola ,Gymnasiet,Ecommerce,3. Neutral,4. Agree,3. Neutral,4. Agree,4. Agree,4. Agree,3. Neutral,3. Neutral,4. Agree,3. Neutral,4. Agree,4. Agree,3. Neutral,4. Agree,4. Agree
68,04/06/2026 17:43:18,04/06/2026 17:49:32,anonymous,,,Std29,Student,Industriell ekonomi och management ,Shop,2. Disagree ,4. Agree,2. Disagree ,5. Strongly Agree,2. Disagree ,3. Neutral,4. Agree,1. Strongly Disagree ,2. Disagree ,5. Strongly Agree,4. Agree,3. Neutral,4. Agree,4. Agree,5. Strongly Agree
69,04/06/2026 17:49:40,04/06/2026 17:53:17,anonymous,,,Std29,Student,Industriell ekonomi och management ,Ecommerce,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,3. Neutral,4. Agree,5. Strongly Agree,4. Agree,4. Agree,3. Neutral,4. Agree,4. Agree,4. Agree,3. Neutral
70,04/06/2026 17:54:28,04/06/2026 17:55:27,anonymous,,,Std 27,Student,Teknisk basår,Ecommerce,3. Neutral,1. Strongly Disagree ,4. Agree,4. Agree,1. Strongly Disagree ,3. Neutral,3. Neutral,4. Agree,1. Strongly Disagree ,3. Neutral,1. Strongly Disagree ,4. Agree,4. Agree,1. Strongly Disagree ,3. Neutral
71,04/06/2026 17:58:22,04/06/2026 18:03:39,anonymous,,,STD31,Student,Student,Shop,2. Disagree ,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,2. Disagree ,4. Agree,2. Disagree ,3. Neutral,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree
72,04/06/2026 17:58:23,04/06/2026 18:03:43,anonymous,,,Std 30,Student,Civ ai,Shop,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,3. Neutral,4. Agree,2. Disagree ,4. Agree,4. Agree,3. Neutral,3. Neutral,4. Agree,4. Agree,3. Neutral
73,04/06/2026 18:03:53,04/06/2026 18:06:38,anonymous,,,Std 30,Student ,Civ ai,Ecommerce,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree
74,04/06/2026 18:04:02,04/06/2026 18:06:48,anonymous,,,STD31,Student,Student,Ecommerce,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,3. Neutral,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree
75,04/06/2026 19:01:17,04/06/2026 19:08:34,anonymous,,,STD32,Software Engineer ,Bachelor's in Systems Engineering ,Shop,4. Agree,2. Disagree ,3. Neutral,4. Agree,5. Strongly Agree,5. Strongly Agree,1. Strongly Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,4. Agree,1. Strongly Disagree ,1. Strongly Disagree ,5. Strongly Agree,5. Strongly Agree,2. Disagree 
76,04/06/2026 19:08:44,04/06/2026 19:13:40,anonymous,,,STD32,Software Engineer,Bachelor's in Systems Engineering ,Ecommerce,5. Strongly Agree,3. Neutral,4. Agree,5. Strongly Agree,1. Strongly Disagree ,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,3. Neutral,5. Strongly Agree,5. Strongly Agree,4. Agree
77,04/07/2026 08:23:10,04/07/2026 08:30:06,anonymous,,,Std33,Student,AI,Shop,1. Strongly Disagree ,5. Strongly Agree,4. Agree,2. Disagree ,1. Strongly Disagree ,2. Disagree ,4. Agree,2. Disagree ,3. Neutral,3. Neutral,2. Disagree ,4. Agree,4. Agree,4. Agree,3. Neutral
78,04/07/2026 08:30:29,04/07/2026 08:36:52,anonymous,,,Std33,Student,Ai,Ecommerce,3. Neutral,5. Strongly Agree,3. Neutral,4. Agree,3. Neutral,4. Agree,5. Strongly Agree,5. Strongly Agree,3. Neutral,4. Agree,2. Disagree ,3. Neutral,3. Neutral,3. Neutral,3. Neutral
79,04/07/2026 08:39:50,04/07/2026 08:46:26,anonymous,,,std34,student,AI,Shop,3. Neutral,5. Strongly Agree,3. Neutral,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,1. Strongly Disagree ,3. Neutral,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,3. Neutral,4. Agree
80,04/07/2026 08:46:51,04/07/2026 08:48:56,anonymous,,,std34,student,ai,Ecommerce,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neutral,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree
81,04/07/2026 10:36:18,04/07/2026 10:48:50,anonymous,,,Std35,,Software engineering Student ,Shop,2. Disagree ,1. Strongly Disagree ,2. Disagree ,2. Disagree ,5. Strongly Agree,2. Disagree ,4. Agree,1. Strongly Disagree ,1. Strongly Disagree ,4. Agree,4. Agree,3. Neutral,4. Agree,4. Agree,2. Disagree 
82,04/07/2026 10:49:09,04/07/2026 10:55:39,anonymous,,,Std35,,Software engineering Student ,Ecommerce,5. Strongly Agree,2. Disagree ,5. Strongly Agree,3. Neutral,1. Strongly Disagree ,4. Agree,4. Agree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree
83,04/07/2026 10:56:31,04/07/2026 11:05:57,anonymous,,,Std36,Student,Software,Shop,3. Neutral,3. Neutral,5. Strongly Agree,4. Agree,5. Strongly Agree,2. Disagree ,3. Neutral,1. Strongly Disagree ,1. Strongly Disagree ,5. Strongly Agree,1. Strongly Disagree ,3. Neutral,5. Strongly Agree,3. Neutral,1. Strongly Disagree 
84,04/07/2026 11:06:35,04/07/2026 11:13:34,anonymous,,,Std36,Student ,Software,Ecommerce,3. Neutral,1. Strongly Disagree ,5. Strongly Agree,1. Strongly Disagree ,1. Strongly Disagree ,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neutral,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neutral
85,04/07/2026 11:14:14,04/07/2026 11:22:52,anonymous,,,std37,Student,Software,Shop,3. Neutral,5. Strongly Agree,4. Agree,4. Agree,5. Strongly Agree,3. Neutral,5. Strongly Agree,1. Strongly Disagree ,3. Neutral,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree
86,04/07/2026 11:23:09,04/07/2026 11:28:23,anonymous,,,std37,Student,Software,Ecommerce,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,2. Disagree ,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree
