ID,Start time,Completion time,Email,Name,Last modified time,Provided ID,Occupation,Educational Background,Which one did you test ?,1. The links and buttons at the top of the page in the navigation menu are clear and readable.,2. It is easy to navigate the site using only a keyboard (without a mouse).,3. The text and buttons on the product cards are easy to read.,"4. I receive a small, modern notification when adding or removing an item from the cart.",5. I notice the product is duplicated in the cart after adding it twice.,"6. When I fill out a form incorrectly, I receive meaningful error messages.",7. I experienced smooth and fluid scrolling while browsing the product list on the Home and Sales pages.  ,"8. The mouse cursor changes to a hand icon when hovering over links and buttons, making it clear they are clickable.",9. The checkboxes were appropriately sized and easy to click.,10.  The search results update instantly as I type.,11. The website's background makes it easy to maintain visual focus on the products.,12. Product images fit their frames proportionally without unnecessary white space.,13. The system responds immediately when applying filters on products.,14. The system responds immediately when sorting products by category.,"15. Overall, the application feels modern and responsive."
186,04/09/2026 14:27:23,04/09/2026 14:32:56,anonymous,,,Worker01,,Masters,Ecommerce,4. Agree,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,2. Disagree ,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,1. Strongly Disagree ,5. Strongly Agree,5. Strongly Agree,4. Agree
187,04/09/2026 14:33:12,04/09/2026 14:36:29,anonymous,,,Worker01,,Masters,Shop,2. Disagree ,4. Agree,4. Agree,2. Disagree ,4. Agree,1. Strongly Disagree ,4. Agree,1. Strongly Disagree ,3. Neutral,4. Agree,4. Agree,1. Strongly Disagree ,4. Agree,4. Agree,2. Disagree 
188,04/09/2026 14:37:06,04/09/2026 14:41:42,anonymous,,,Worker02,Project Manager ,Higher learning ,Ecommerce,5. Strongly Agree,2. Disagree ,5. Strongly Agree,5. Strongly Agree,4. Agree,2. Disagree ,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree
189,04/09/2026 14:42:05,04/09/2026 14:44:17,anonymous,,,Worker02,Project Manager,Higher learning,Shop,2. Disagree ,2. Disagree ,2. Disagree ,2. Disagree ,4. Agree,2. Disagree ,3. Neutral,2. Disagree ,2. Disagree ,4. Agree,2. Disagree ,2. Disagree ,2. Disagree ,3. Neutral,2. Disagree 
190,04/09/2026 15:02:24,04/09/2026 15:07:01,anonymous,,,std91,Student,High school (swedish gymnasium),Ecommerce,4. Agree,5. Strongly Agree,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neutral,5. Strongly Agree,5. Strongly Agree,3. Neutral,5. Strongly Agree,5. Strongly Agree,3. Neutral
191,04/09/2026 15:02:22,04/09/2026 15:07:10,anonymous,,,Std90,Student,Peace and conflict ,Ecommerce,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree
192,04/09/2026 15:07:20,04/09/2026 15:11:05,anonymous,,,std91,Student,High school (swedish gymnasium),Shop,1. Strongly Disagree ,4. Agree,1. Strongly Disagree ,1. Strongly Disagree ,2. Disagree ,1. Strongly Disagree ,3. Neutral,1. Strongly Disagree ,1. Strongly Disagree ,4. Agree,4. Agree,3. Neutral,4. Agree,3. Neutral,2. Disagree 
193,04/09/2026 15:07:27,04/09/2026 15:11:05,anonymous,,,Std90,Student,Peace and conflict,Shop,2. Disagree ,4. Agree,2. Disagree ,3. Neutral,1. Strongly Disagree ,2. Disagree ,3. Neutral,1. Strongly Disagree ,1. Strongly Disagree ,4. Agree,2. Disagree ,2. Disagree ,3. Neutral,3. Neutral,1. Strongly Disagree 
195,04/09/2026 15:12:59,04/09/2026 15:20:23,anonymous,,,Std94,,Gymnasie,Ecommerce,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,3. Neutral,4. Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree
196,04/09/2026 15:12:48,04/09/2026 15:20:34,anonymous,,,STD93,,Highschool and ongoing bachelor in social work,Ecommerce,4. Agree,3. Neutral,4. Agree,3. Neutral,4. Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree,4. Agree,4. Agree
197,04/09/2026 15:12:43,04/09/2026 15:20:49,anonymous,,,Std92,Student,University,Ecommerce,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,3. Neutral,1. Strongly Disagree ,2. Disagree ,2. Disagree ,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree
199,04/09/2026 15:20:41,04/09/2026 15:24:18,anonymous,,,Std94,,Gymnasie,Shop,2. Disagree ,4. Agree,4. Agree,5. Strongly Agree,2. Disagree ,3. Neutral,4. Agree,1. Strongly Disagree ,3. Neutral,5. Strongly Agree,5. Strongly Agree,1. Strongly Disagree ,4. Agree,4. Agree,3. Neutral
200,04/09/2026 15:20:53,04/09/2026 15:24:20,anonymous,,,Std92,Student,University,Shop,3. Neutral,3. Neutral,2. Disagree ,4. Agree,1. Strongly Disagree ,4. Agree,1. Strongly Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,2. Disagree ,4. Agree,3. Neutral,5. Strongly Agree,5. Strongly Agree,4. Agree
201,04/09/2026 15:20:40,04/09/2026 15:24:28,anonymous,,,STD93,,Highschool and ongoing bachelor of social work,Shop,2. Disagree ,3. Neutral,2. Disagree ,2. Disagree ,1. Strongly Disagree ,3. Neutral,3. Neutral,1. Strongly Disagree ,2. Disagree ,3. Neutral,4. Agree,3. Neutral,4. Agree,4. Agree,2. Disagree 
202,04/09/2026 15:27:19,04/09/2026 15:33:07,anonymous,,,Std96,Student ,Universitet,Ecommerce,5. Strongly Agree,5. Strongly Agree,3. Neutral,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,2. Disagree ,5. Strongly Agree,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,2. Disagree 
203,04/09/2026 15:27:17,04/09/2026 15:33:08,anonymous,,,Std95,Student,Criminology,Ecommerce,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neutral,4. Agree,5. Strongly Agree,5. Strongly Agree,3. Neutral,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree
204,04/09/2026 15:33:11,04/09/2026 15:38:42,anonymous,,,std96,Student,Universitet,Shop,2. Disagree ,1. Strongly Disagree ,4. Agree,5. Strongly Agree,2. Disagree ,2. Disagree ,5. Strongly Agree,1. Strongly Disagree ,4. Agree,4. Agree,4. Agree,1. Strongly Disagree ,5. Strongly Agree,5. Strongly Agree,1. Strongly Disagree 
205,04/09/2026 15:33:18,04/09/2026 15:38:45,anonymous,,,Std95,Student,Criminology ,Shop,2. Disagree ,1. Strongly Disagree ,3. Neutral,5. Strongly Agree,1. Strongly Disagree ,2. Disagree ,5. Strongly Agree,1. Strongly Disagree ,5. Strongly Agree,2. Disagree ,5. Strongly Agree,2. Disagree ,2. Disagree ,5. Strongly Agree,3. Neutral
206,04/09/2026 15:42:37,04/09/2026 15:46:53,anonymous,,,Std102,Student,Hr,Ecommerce,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neutral,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree
207,04/09/2026 15:40:44,04/09/2026 15:47:06,anonymous,,,Std100,Student ,Gymnasium,Ecommerce,5. Strongly Agree,3. Neutral,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree,4. Agree,4. Agree
208,04/09/2026 15:40:37,04/09/2026 15:47:06,anonymous,,,Std99,Student ,HR,Ecommerce,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree
209,04/09/2026 15:40:47,04/09/2026 15:47:07,anonymous,,,Std97,Student ,Bachelor in HR,Ecommerce,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree
210,04/09/2026 15:42:36,04/09/2026 15:47:11,anonymous,,,Std101,Student ,HR,Ecommerce,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree
211,04/09/2026 15:40:37,04/09/2026 15:47:13,anonymous,,,Std98,Student ,HR,Ecommerce,3. Neutral,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree
212,04/09/2026 15:47:15,04/09/2026 15:49:53,anonymous,,,Std102,Student,Hr,Shop,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree
213,04/09/2026 15:47:18,04/09/2026 15:50:14,anonymous,,,Std97,Student ,Hr,Shop,3. Neutral,4. Agree,2. Disagree ,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,3. Neutral,3. Neutral,4. Agree
214,04/09/2026 15:47:14,04/09/2026 15:50:18,anonymous,,,Std100,Student,Gymnasium ,Shop,2. Disagree ,3. Neutral,3. Neutral,3. Neutral,3. Neutral,4. Agree,2. Disagree ,2. Disagree ,2. Disagree ,2. Disagree ,3. Neutral,1. Strongly Disagree ,1. Strongly Disagree ,3. Neutral,2. Disagree 
215,04/09/2026 15:47:19,04/09/2026 15:50:19,anonymous,,,Std98,Stundt ,Hr,Shop,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,2. Disagree ,3. Neutral,4. Agree,4. Agree,4. Agree,4. Agree,3. Neutral,5. Strongly Agree
216,04/09/2026 15:47:20,04/09/2026 15:50:19,anonymous,,,Std99,Student ,Hr,Shop,3. Neutral,4. Agree,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,3. Neutral,3. Neutral,4. Agree,3. Neutral,4. Agree,4. Agree,4. Agree
217,04/09/2026 15:47:15,04/09/2026 15:50:22,anonymous,,,Std101,Student ,HR,Shop,5. Strongly Agree,3. Neutral,3. Neutral,3. Neutral,4. Agree,2. Disagree ,3. Neutral,1. Strongly Disagree ,2. Disagree ,3. Neutral,1. Strongly Disagree ,3. Neutral,2. Disagree ,2. Disagree ,2. Disagree 
218,04/09/2026 15:53:42,04/09/2026 15:57:14,anonymous,,,Std103,Student,Peace and conflict studies ,Ecommerce,4. Agree,3. Neutral,5. Strongly Agree,3. Neutral,3. Neutral,5. Strongly Agree,5. Strongly Agree,3. Neutral,4. Agree,4. Agree,4. Agree,5. Strongly Agree,4. Agree,3. Neutral,4. Agree
219,04/09/2026 15:57:37,04/09/2026 16:00:06,anonymous,,,Std103,Student,Peace and conflict studies ,Shop,4. Agree,5. Strongly Agree,3. Neutral,1. Strongly Disagree ,3. Neutral,4. Agree,3. Neutral,1. Strongly Disagree ,1. Strongly Disagree ,5. Strongly Agree,4. Agree,2. Disagree ,3. Neutral,5. Strongly Agree,1. Strongly Disagree 
220,04/09/2026 16:01:47,04/09/2026 16:07:37,anonymous,,,Std104,Student,Psychology ,Ecommerce,5. Strongly Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree
221,04/09/2026 16:07:49,04/09/2026 16:11:32,anonymous,,,Std104,Student,Psychology ,Shop,2. Disagree ,2. Disagree ,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,1. Strongly Disagree ,4. Agree,5. Strongly Agree,5. Strongly Agree,2. Disagree ,5. Strongly Agree,5. Strongly Agree,2. Disagree 
223,04/09/2026 16:29:11,04/09/2026 16:35:37,anonymous,,,Std107,Psychology Student,Master's Student ,Ecommerce,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree
224,04/09/2026 16:29:08,04/09/2026 16:35:37,anonymous,,,Std106,Student,B.Sc. Psychology,Ecommerce,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,3. Neutral,4. Agree,4. Agree,4. Agree
225,04/09/2026 16:35:52,04/09/2026 16:39:40,anonymous,,,Std106,Student,B.Sc. Psychology,Shop,2. Disagree ,4. Agree,1. Strongly Disagree ,3. Neutral,2. Disagree ,1. Strongly Disagree ,4. Agree,1. Strongly Disagree ,1. Strongly Disagree ,4. Agree,4. Agree,2. Disagree ,4. Agree,4. Agree,2. Disagree 
226,04/09/2026 16:35:52,04/09/2026 16:39:45,anonymous,,,Std107,Psychology Student,Master's Student,Shop,2. Disagree ,5. Strongly Agree,1. Strongly Disagree ,3. Neutral,2. Disagree ,2. Disagree ,4. Agree,1. Strongly Disagree ,3. Neutral,5. Strongly Agree,5. Strongly Agree,1. Strongly Disagree ,5. Strongly Agree,5. Strongly Agree,3. Neutral
227,04/09/2026 16:42:10,04/09/2026 16:47:06,anonymous,,,Std108,Student,University,Ecommerce,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree
228,04/09/2026 16:43:04,04/09/2026 16:47:08,anonymous,,,Std109,Student,Doing my bachelor ,Ecommerce,4. Agree,2. Disagree ,4. Agree,4. Agree,1. Strongly Disagree ,4. Agree,4. Agree,4. Agree,4. Agree,3. Neutral,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree
229,04/09/2026 16:42:14,04/09/2026 16:47:17,anonymous,,,Std110,Student,Bachelors,Ecommerce,4. Agree,4. Agree,5. Strongly Agree,4. Agree,2. Disagree ,4. Agree,4. Agree,5. Strongly Agree,3. Neutral,3. Neutral,4. Agree,4. Agree,4. Agree,3. Neutral,4. Agree
230,04/09/2026 16:47:30,04/09/2026 16:50:09,anonymous,,,Std110,Student,Bachelors,Shop,2. Disagree ,4. Agree,3. Neutral,2. Disagree ,2. Disagree ,2. Disagree ,4. Agree,2. Disagree ,3. Neutral,2. Disagree ,4. Agree,3. Neutral,4. Agree,4. Agree,4. Agree
231,04/09/2026 16:47:55,04/09/2026 16:50:14,anonymous,,,Std109,Same as last time,Same as last time,Shop,2. Disagree ,1. Strongly Disagree ,2. Disagree ,4. Agree,1. Strongly Disagree ,2. Disagree ,4. Agree,1. Strongly Disagree ,4. Agree,1. Strongly Disagree ,5. Strongly Agree,1. Strongly Disagree ,4. Agree,4. Agree,2. Disagree 
232,04/09/2026 16:47:25,04/09/2026 16:50:17,anonymous,,,Std108,Student,Universitet,Shop,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,2. Disagree ,2. Disagree ,2. Disagree ,4. Agree,1. Strongly Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,5. Strongly Agree,1. Strongly Disagree ,4. Agree,4. Agree,2. Disagree 
233,04/20/2026 14:25:44,04/20/2026 14:35:35,anonymous,,,Std111,,2nd year Cybersecurity Blekinge Institute of Technology,Ecommerce,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,3. Neutral,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree
234,04/20/2026 14:25:27,04/20/2026 14:37:02,anonymous,,,Std112,Student,Undergraduate at BTH (civil engineer in cybersecurity program),Ecommerce,4. Agree,3. Neutral,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree
235,04/20/2026 14:25:16,04/20/2026 14:49:35,anonymous,,,Std111,,2nd year Masters in Cybersecurity at Blekinge Institute of Technology,Shop,1. Strongly Disagree ,4. Agree,3. Neutral,1. Strongly Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,2. Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,2. Disagree ,4. Agree,1. Strongly Disagree ,2. Disagree ,2. Disagree ,1. Strongly Disagree 
236,04/20/2026 14:37:06,04/20/2026 14:49:42,anonymous,,,Std112,Student,Undergraduate at BTH,Shop,2. Disagree ,2. Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,5. Strongly Agree,1. Strongly Disagree ,2. Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,2. Disagree ,4. Agree,2. Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,2. Disagree 
240,04/20/2026 15:20:25,04/20/2026 15:27:22,anonymous,,,Std115,,Indek,Ecommerce,4. Agree,2. Disagree ,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,3. Neutral,4. Agree,4. Agree,4. Agree,4. Agree
241,04/20/2026 15:20:25,04/20/2026 15:27:40,anonymous,,,Std114,Student,Indek,Ecommerce,4. Agree,2. Disagree ,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree
242,04/20/2026 15:27:26,04/20/2026 15:31:19,anonymous,,,Std115,,Indek,Shop,3. Neutral,1. Strongly Disagree ,3. Neutral,1. Strongly Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,2. Disagree ,2. Disagree ,2. Disagree ,3. Neutral,2. Disagree ,3. Neutral,4. Agree,3. Neutral,2. Disagree 
243,04/20/2026 15:27:44,04/20/2026 15:32:17,anonymous,,,Std114,Student,Indke,Shop,3. Neutral,5. Strongly Agree,2. Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,5. Strongly Agree,3. Neutral,2. Disagree ,1. Strongly Disagree ,2. Disagree ,3. Neutral,3. Neutral,3. Neutral
244,04/20/2026 15:35:19,04/20/2026 15:43:59,anonymous,,,Std118,Student,Civil mariningenjör,Ecommerce,4. Agree,5. Strongly Agree,5. Strongly Agree,2. Disagree ,2. Disagree ,5. Strongly Agree,3. Neutral,2. Disagree ,5. Strongly Agree,4. Agree,2. Disagree ,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree
245,04/20/2026 15:36:49,04/20/2026 15:44:09,anonymous,,,STD119,Student Civilingenjör i Marin Teknik,Student Civilingenjör i Marin Teknik,Ecommerce,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree
247,04/20/2026 15:35:12,04/20/2026 15:44:18,anonymous,,,STD116,Student ,Marin technology Master engineer ,Ecommerce,5. Strongly Agree,3. Neutral,5. Strongly Agree,3. Neutral,3. Neutral,4. Agree,3. Neutral,4. Agree,4. Agree,4. Agree,3. Neutral,4. Agree,4. Agree,4. Agree,4. Agree
249,04/20/2026 15:44:19,04/20/2026 15:48:43,anonymous,,,Std118,Student,Civilingenjör marinteknik,Shop,2. Disagree ,4. Agree,1. Strongly Disagree ,4. Agree,3. Neutral,1. Strongly Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,4. Agree,1. Strongly Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,1. Strongly Disagree 
250,04/20/2026 15:44:25,04/20/2026 15:48:44,anonymous,,,STD116,Student ,Marin technology Master engineer,Shop,2. Disagree ,3. Neutral,1. Strongly Disagree ,5. Strongly Agree,4. Agree,2. Disagree ,2. Disagree ,1. Strongly Disagree ,2. Disagree ,2. Disagree ,4. Agree,2. Disagree ,2. Disagree ,2. Disagree ,1. Strongly Disagree 
251,04/20/2026 15:44:15,04/20/2026 15:48:44,anonymous,,,STD119,Student Marine,Student Marine,Shop,5. Strongly Agree,3. Neutral,5. Strongly Agree,2. Disagree ,4. Agree,2. Disagree ,3. Neutral,1. Strongly Disagree ,2. Disagree ,1. Strongly Disagree ,4. Agree,1. Strongly Disagree ,2. Disagree ,3. Neutral,2. Disagree 
252,04/20/2026 15:50:08,04/20/2026 15:58:28,anonymous,,,STD121,Student ,Sjuksköterska ,Ecommerce,4. Agree,4. Agree,4. Agree,3. Neutral,3. Neutral,3. Neutral,4. Agree,4. Agree,4. Agree,2. Disagree ,4. Agree,4. Agree,4. Agree,3. Neutral,4. Agree
253,04/20/2026 15:50:11,04/20/2026 16:00:24,anonymous,,,STD120,Student ,Sjuksköterska ,Ecommerce,2. Disagree ,3. Neutral,2. Disagree ,1. Strongly Disagree ,3. Neutral,2. Disagree ,3. Neutral,2. Disagree ,3. Neutral,2. Disagree ,4. Agree,2. Disagree ,3. Neutral,5. Strongly Agree,1. Strongly Disagree 
254,04/20/2026 15:57:33,04/20/2026 16:02:08,anonymous,,,Std122,Student,Sjuksköterska ,Ecommerce,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree
255,04/20/2026 16:00:32,04/20/2026 16:05:37,anonymous,,,STD120,Student ,Sjuksköterska ,Shop,2. Disagree ,3. Neutral,2. Disagree ,2. Disagree ,2. Disagree ,2. Disagree ,3. Neutral,2. Disagree ,3. Neutral,2. Disagree ,2. Disagree ,3. Neutral,2. Disagree ,3. Neutral,1. Strongly Disagree 
